,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl
230,0.0,211.901963821,0.0,230.647444924,0.0,0.478821030225,0.0,0.521178969775,173.0,211.34936567,173.0,215.879137973,173.0,223.0,173.0,230.118504721,0.0,18.6889186344,0.0,25.059073273,0.0,6.6257913495,0.0,17.5761057101,0,60.2184887209,0,143.082208437,0,54.8840271681,0,138.023229886
231,0.0,210.011011487,0.0,230.595443355,0.0,0.476640796291,0.0,0.523359203709,174.0,212.34936567,174.0,216.879137973,174.0,224.0,174.0,231.118504721,0.0,18.7096118086,0.0,25.1142235525,0.0,6.62583186984,0.0,17.5652437291,0,60.3475416778,0,143.148180611,0,55.0194413962,0,138.087854552
232,0.0,208.142441667,0.0,230.543291647,0.0,0.474468226022,0.0,0.525531773978,175.0,213.34936567,175.0,217.879137973,175.0,225.0,175.0,232.118504721,0.0,18.7301373868,0.0,25.1690829517,0.0,6.62587006354,0.0,17.5543616802,0,60.4758884301,0,143.212549706,0,55.1541015551,0,138.150764725
233,0.0,206.295940809,0.0,230.490990189,0.0,0.472303373038,0.0,0.527696626962,176.0,214.34936567,176.0,218.879137973,176.0,226.0,176.0,233.118504721,0.0,18.7504972982,0.0,25.2236536235,0.0,6.62590606193,0.0,17.543459804,0,60.6035351845,0,143.275334036,0,55.2880144237,0,138.211983502
234,0.0,204.471200081,0.0,230.438539367,0.0,0.470146289068,0.0,0.529853710932,177.0,215.34936567,177.0,219.879137973,177.0,227.0,177.0,234.118504721,0.0,18.7706934438,0.0,25.2779377018,0.0,6.62593998906,0.0,17.5325383324,0,60.7304880459,0,143.336551605,0,55.4211866718,0,138.271533515
235,0.0,202.6679153,0.0,230.385939569,0.0,0.467997023977,0.0,0.532002976023,178.0,216.34936567,178.0,220.879137973,178.0,228.0,178.0,235.118504721,0.0,18.7907276968,0.0,25.3319373009,0.0,6.62597196213,0.0,17.5215974888,0,60.8567530204,0,143.396220118,0,55.5536248629,0,138.329436945
236,0.0,200.88578687,0.0,230.333191179,0.0,0.465855625785,0.0,0.534144374215,179.0,217.34936567,179.0,221.879137973,179.0,229.0,179.0,236.118504721,0.0,18.8106019029,0.0,25.3856545163,0.0,6.62600209183,0.0,17.5106374886,0,60.9823360186,0,143.454356984,0,55.685335458,0,138.385715528
237,0.0,199.124519714,0.0,230.280294585,0.0,0.463722140701,0.0,0.536277859299,180.0,218.34936567,180.0,222.879137973,180.0,230.0,180.0,237.118504721,0.0,18.8303178811,0.0,25.4390914247,0.0,6.62603048271,0.0,17.4996585394,0,61.1072428583,0,143.510979328,0,55.816324818,0,138.440390576
238,0.0,197.383823217,0.0,230.227250169,0.0,0.461596613142,0.0,0.538403386858,181.0,219.34936567,181.0,223.879137973,181.0,231.0,181.0,238.118504721,0.0,18.8498774239,0.0,25.4922500839,0.0,6.6260572335,0.0,17.4886608416,0,61.2314792676,0,143.566103992,0,55.9465992067,0,138.493482978
239,0.0,195.663411156,0.0,230.174058317,0.0,0.45947908576,0.0,0.54052091424,182.0,220.34936567,182.0,224.879137973,182.0,232.0,182.0,239.118504721,0.0,18.8692822981,0.0,25.5451325334,0.0,6.62608243744,0.0,17.4776445885,0,61.3550508874,0,143.619747543,0,56.0761647938,0,138.545013219
