,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,MerchantableVolumeAw,Gross_Total_Volume_Sw,MerchantableVolumeSw,Gross_Total_Volume_Sb,MerchantableVolumeSb,Gross_Total_Volume_Pl,MerchantableVolumePl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
42,161.527238323,3065.67240939,0,420.575461601,0.0442810298011,0.840422536346,0.0,0.115296433853,29.9863956545,10.7215577891,-14.0,15.3707725619,42.3514829555,23.0,-14.0,30.5450327329,4.46976877595,3.22375070626,0,3.56955814819,0.729930351585,0.391481044499,0.0,5.88414663134,0.543572958819,0.00125440063446,0.562467076687,0.00919913042639,0.0,,6.85987005074,0.0370499360037,7.42233712743,0.543572958819,7.96591008625,,0.00125440063446,
43,161.490109264,3037.84808138,0,420.425933923,0.0446134343858,0.839239236823,0.0,0.116147328791,30.9863956545,11.7215577891,-13.0,16.3707725619,43.3514829555,24.0,-13.0,31.5450327329,4.56460518878,3.40936622427,0,3.7246130705,0.744639388346,0.472575812928,0.0,6.58087279205,0.591451597071,0.00152238466876,0.705357112275,0.0146723359951,0.0,,8.31825143344,0.0646096738598,9.02360854571,0.591451597071,9.61506014278,,0.00152238466876,
44,161.451225379,3009.42020305,0,420.272988434,0.0449581544592,0.838011467576,0.0,0.117030377965,31.9863956545,12.7215577891,-12.0,17.3707725619,44.3514829555,25.0,-12.0,32.5450327329,4.65879618923,3.59473152532,0,3.87992715465,0.758719484715,0.563659565452,0.0,7.27191623976,0.640568454207,0.00183199377464,0.872751085666,0.0227546951146,0.0,,9.8990683089,0.106687932094,10.7718193946,0.640568454207,11.4123878488,,0.00183199377464,
45,161.41056218,2980.43655873,0,420.116658316,0.045315048716,0.836739715353,0.0,0.117945235931,32.9863956545,13.7215577891,-11.0,18.3707725619,45.3514829555,26.0,-11.0,33.5450327329,4.75234925657,3.77963768201,0,4.03542583075,0.772105286332,0.665133023078,0.0,7.95483104078,0.690722165837,0.00218662656564,1.06693893565,0.0344039718945,0.0,,11.5940224222,0.168244685481,12.6609613578,0.690722165837,13.3516835237,,0.00218662656564,
46,161.368095761,2950.94434149,0,419.956975909,0.0456839716583,0.835424481071,0.0,0.118891547271,33.9863956545,14.7215577891,-10.0,19.3707725619,46.3514829555,27.0,-10.0,34.5450327329,4.84527183309,3.96389698708,0,4.19103988198,0.784736163059,0.777358307672,0.0,8.62768459846,0.741703047242,0.00258944467675,1.29022478493,0.0508256785136,0.0,,13.3946969339,0.25507993442,14.6849217188,0.741703047242,15.426624766,,0.00258944467675,
47,161.323802783,2920.99001324,0,419.793972759,0.0460647737055,0.834066279341,0.0,0.119868946954,34.9863956545,15.7215577891,-9.0,20.3707725619,47.3514829555,28.0,-9.0,35.5450327329,4.93757131293,4.14734105046,0,4.3467050106,0.796556230735,0.90065788214,0.0,9.28895064633,0.793294805697,0.00304327977911,1.54491278301,0.0735062379262,0.0,,15.2927007401,0.373792956679,16.8376135231,0.793294805697,17.6309083288,,0.00304327977911,
48,161.277660465,2890.61917647,0,419.627679677,0.0464573013075,0.832665638004,0.0,0.120877060689,35.9863956545,16.7215577891,-8.0,21.3707725619,48.3514829555,29.0,-8.0,36.5450327329,5.02925503271,4.32981908082,0,4.50236144807,0.807514300202,1.03531370874,0.0,9.93742889404,0.845276155697,0.00355053842507,1.83329309413,0.104242655384,0.0,,17.2797712243,0.531708501445,19.1130643184,0.845276155697,19.9583404741,,0.00355053842507,
49,161.22964657,2859.87645818,0,419.458126784,0.0468613970617,0.831223097644,0.0,0.121915505294,36.9863956545,17.7215577891,-7.0,22.3707725619,49.3514829555,30.0,-7.0,37.5450327329,5.12033026364,4.51119633009,0,4.65795360372,0.817563771733,1.18156667213,0.0,10.5721835372,0.897422323945,0.00411310670019,2.15762821991,0.145166461029,0.0,,19.3478467658,0.736771204403,21.5054749857,0.897422323945,22.4028973097,,0.00411310670019,
50,161.179739398,2828.8054057,0,419.285343556,0.0472768998336,0.829739211105,0.0,0.122983889061,37.9863956545,18.7215577891,-6.0,23.3707725619,50.3514829555,31.0,-6.0,38.5450327329,5.210804205,4.69135268269,0,4.8134297474,0.826662489749,1.33961629684,0.0,11.1924954023,0.949506436538,0.00473225672857,2.52013983248,0.19875967117,0.0,,21.4891172651,0.997410694368,24.0092570975,0.949506436538,24.9587635341,,0.00473225672857,
51,161.12791777,2797.44839449,0,419.109358863,0.0477036448796,0.828214542995,0.0,0.124081812126,38.9863956545,19.7215577891,-5.0,24.3707725619,51.3514829555,32.0,-5.0,39.5450327329,5.30068397874,4.87018137354,0,4.96874172187,0.834772569888,1.50962077179,0.0,11.7978241409,1.00130078527,0.00540855710512,2.9229962698,0.267860689223,0.0,,23.6960586486,1.32238105825,26.6190549184,1.00130078527,27.6203557036,,0.00540855710512,
52,161.074161026,2765.84654761,0,418.930201005,0.0481414639732,0.826649669189,0.0,0.125208866838,39.9863956545,20.7215577891,-4.0,25.3707725619,52.3514829555,33.0,-4.0,40.5450327329,5.38997662502,5.04758782145,0,5.1238446817,0.841860208095,1.69169727927,0.0,12.3877779623,1.05257797345,0.00614178931473,3.36830081775,0.355658442873,0.0,,25.9614556395,1.72057948264,29.3297564572,1.05257797345,30.3823344307,,0.00614178931473,
53,161.018449015,2734.03966666,0,418.747897747,0.0485901855336,0.825045176328,0.0,0.126364638138,40.9863956545,21.7215577891,-3.0,26.3707725619,53.3514829555,34.0,-3.0,41.5450327329,5.47868909866,5.22348856598,0,5.27869685548,0.847895479322,1.8859226139,0.0,12.9620891169,1.10311194437,0.00693087214571,3.85808087365,0.465673623312,0.0,,28.2784158756,2.20084992896,32.1364967493,1.10311194437,33.2396086937,,0.00693087214571,
54,160.960762084,2702.06617367,0,418.56247635,0.0490496347564,0.823401661312,0.0,0.127548703932,41.9863956545,22.7215577891,-2.0,27.3707725619,54.3514829555,35.0,-2.0,42.5450327329,5.56682826623,5.39781029753,0,5.43325932887,0.852852131769,2.09233406813,0.0,13.520593827,1.15267889732,0.0077737960179,4.39427805888,0.601726621843,0.0,,30.6403775968,2.77177854688,35.0346556557,1.15267889732,36.187334553,,0.0077737960179,
55,160.901081079,2669.96306362,0,418.373963599,0.0495196337467,0.821719730789,0.0,0.128760635464,42.9863956545,23.7215577891,-1.0,28.3707725619,55.3514829555,36.0,-1.0,43.5450327329,5.65440090387,5.57048897156,0,5.58749584631,0.85670738116,2.31093055574,0.0,14.0632157101,1.20105809754,0.00866756902634,4.97873932251,0.767892590822,0.0,,33.0411125145,3.44148811136,38.019851837,1.20105809754,39.2209099345,,0.00866756902634,
56,160.839387331,2637.76586709,0,418.182385827,0.0500000016532,0.820000000649,0.0,0.129999997698,43.9863956545,24.7215577891,0.0,29.3707725619,56.3514829555,37.0,0.0,44.5450327329,5.74141369555,5.74146899888,0,5.74137262923,0.859441708449,2.40847604009,0.0,14.4131921423,1.24803258709,0.00960817635507,5.32388424158,0.882409117084,0.0,,35.0499510035,4.03779001555,40.373835245,1.24803258709,41.6218678321,,0.00960817635507,
57,160.775662655,2605.50862239,0,417.987768943,0.0504905548049,0.818243095506,0.0,0.131266349689,44.9863956545,25.7215577891,1.0,30.3707725619,57.3514829555,38.0,1.0,45.5450327329,5.82787323193,5.91070250508,0,5.8948582093,0.861038663422,2.50794004675,0.0,14.7546797009,1.2933898044,0.0105905545443,5.6837191062,1.00951587461,0.0,,37.0760664366,4.70485545893,42.7597855428,1.2933898044,44.0531753472,,0.0105905545443,
58,160.709889346,2573.22385662,0,417.790138453,0.0509911068482,0.816449648188,0.0,0.132559244964,45.9863956545,26.7215577891,2.0,31.3707725619,58.3514829555,39.0,2.0,46.5450327329,5.91378600943,6.07814865254,0,6.04792327499,0.861484675921,2.60907745917,0.0,15.0874496535,1.33692211993,0.0116085819034,6.05791437865,1.14983977617,0.0,,39.1157396661,5.44610096374,45.1736540447,1.33692211993,46.5105761647,,0.0116085819034,
59,160.64205017,2540.9425752,0,417.58951948,0.0515014688856,0.814620299221,0.0,0.133878231893,46.9863956545,27.7215577891,3.0,32.3707725619,59.3514829555,40.0,3.0,47.5450327329,5.99915842987,6.24377301964,0,6.20054053035,0.860768875905,2.71164666366,0.0,15.411338654,1.37842729587,0.012655086156,6.44609117824,1.30394410984,0.0,,41.165452532,6.2645153293,47.6115437102,1.37842729587,48.9899710061,,0.012655086156,
