         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77/17    0.001    0.000    0.058    0.003 pyparsing.py:3721(streamline)
        1    0.010    0.010    0.058    0.058 dist.py:5(<module>)
      152    0.003    0.000    0.057    0.000 __init__.py:2379(__init__)
        2    0.040    0.020    0.056    0.028 common.py:3(<module>)
        1    0.038    0.038    0.056    0.056 random.py:40(<module>)
     8566    0.056    0.000    0.056    0.000 {getattr}
        1    0.036    0.036    0.056    0.056 ops.py:2(<module>)
        3    0.016    0.005    0.055    0.018 expr.py:215(disallowed)
        1    0.051    0.051    0.055    0.055 local.py:3(<module>)
        1    0.001    0.001    0.054    0.054 decimal.py:116(<module>)
        1    0.000    0.000    0.053    0.053 platform.py:10(<module>)
        1    0.044    0.044    0.053    0.053 nanops.py:1(<module>)
        1    0.011    0.011    0.052    0.052 pyplot.py:1855(get_plot_commands)
        1    0.051    0.051    0.052    0.052 tz.py:9(<module>)
       13    0.007    0.001    0.052    0.004 ops.py:41(_create_methods)
        1    0.001    0.001    0.051    0.051 text.py:3(<module>)
        1    0.000    0.000    0.051    0.051 dtypes.py:1(<module>)
        1    0.050    0.050    0.051    0.051 linalg.py:10(<module>)
        1    0.031    0.031    0.050    0.050 config.py:25(<module>)
        1    0.044    0.044    0.049    0.049 excel.py:3(<module>)
        1    0.045    0.045    0.049    0.049 polynomial.py:55(<module>)
      154    0.003    0.000    0.049    0.000 __init__.py:1383(safe_version)
      211    0.021    0.000    0.048    0.000 version.py:198(__init__)
       98    0.048    0.000    0.048    0.000 docstring.py:44(__call__)
        1    0.006    0.006    0.047    0.047 __init__.py:99(<module>)
      403    0.015    0.000    0.047    0.000 artist.py:1074(get_valid_values)
        1    0.045    0.045    0.047    0.047 legend.py:23(<module>)
       79    0.002    0.000    0.047    0.001 docstring.py:128(<lambda>)
        1    0.034    0.034    0.046    0.046 arrayprint.py:5(<module>)
        1    0.045    0.045    0.045    0.045 mimetools.py:1(<module>)
        4    0.000    0.000    0.045    0.011 pyparsing.py:4722(srange)
        1    0.030    0.030    0.044    0.044 offsets.py:1(<module>)
        1    0.000    0.000    0.044    0.044 dtypes.py:259(PeriodDtype)
        1    0.000    0.000    0.043    0.043 version.py:191(Version)
     3338    0.025    0.000    0.042    0.000 sre_parse.py:137(__len__)
        2    0.024    0.012    0.042    0.021 exceptions.py:1(<module>)
     2024    0.019    0.000    0.042    0.000 _methods.py:37(_any)
        1    0.019    0.019    0.042    0.042 lines.py:4(<module>)
        1    0.000    0.000    0.041    0.041 category.py:1(<module>)
    97/70    0.002    0.000    0.040    0.001 pyparsing.py:3898(parseImpl)
      645    0.009    0.000    0.040    0.000 re.py:148(sub)
        1    0.012    0.012    0.040    0.040 category.py:635(_add_accessors)
       94    0.009    0.000    0.040    0.000 rcsetup.py:74(f)
   111/88    0.002    0.000    0.039    0.000 pyparsing.py:3393(__str__)
        1    0.034    0.034    0.039    0.039 array.py:3(<module>)
       94    0.001    0.000    0.038    0.000 linecache.py:13(getline)
        6    0.000    0.000    0.038    0.006 ops.py:235(add_flex_arithmetic_methods)
        1    0.000    0.000    0.038    0.038 fontconfig_pattern.py:71(__init__)
        1    0.036    0.036    0.038    0.038 ols.py:3(<module>)
     2024    0.020    0.000    0.037    0.000 numeric.py:484(asanyarray)
       94    0.001    0.000    0.037    0.000 linecache.py:33(getlines)
      149    0.003    0.000    0.036    0.000 pyparsing.py:1780(__add__)
      599    0.020    0.000    0.036    0.000 inspect.py:744(getargs)
        1    0.036    0.036    0.036    0.036 fftpack.py:32(<module>)
        2    0.001    0.001    0.036    0.018 linecache.py:72(updatecache)
       20    0.019    0.001    0.035    0.002 collections.py:305(namedtuple)
     2233    0.034    0.000    0.034    0.000 {hasattr}
     2975    0.034    0.000    0.034    0.000 {method 'strip' of 'unicode' objects}
        1    0.006    0.006    0.034    0.034 decoder.py:2(<module>)
        1    0.001    0.001    0.034    0.034 uuid.py:45(<module>)
        6    0.006    0.001    0.034    0.006 patches.py:1757(_pprint_styles)
    100/6    0.003    0.000    0.033    0.006 pyparsing.py:1505(_parseCache)
        1    0.021    0.021    0.033    0.033 axis.py:3(<module>)
        1    0.022    0.022    0.032    0.032 fancy_getopt.py:9(<module>)
        1    0.026    0.026    0.031    0.031 _compat.py:1(<module>)
        1    0.000    0.000    0.031    0.031 core.py:399(make_formatter)
        1    0.000    0.000    0.031    0.031 formatting.py:101(__init__)
        1    0.001    0.001    0.031    0.031 termui.py:157(get_terminal_size)
        1    0.000    0.000    0.031    0.031 util.py:236(find_library)
        1    0.001    0.001    0.031    0.031 util.py:209(_findSoname_ldconfig)
     1175    0.004    0.000    0.031    0.000 __init__.py:2174(_normalize_cached)
       14    0.000    0.000    0.031    0.002 rcsetup.py:737(validate_cycler)
        1    0.000    0.000    0.031    0.031 core.py:773(format_usage)
1224/1198    0.017    0.000    0.030    0.000 pyparsing.py:349(__init__)
        3    0.030    0.010    0.030    0.010 termui.py:172(ioctl_gwinsz)
       12    0.003    0.000    0.030    0.003 {eval}
      151    0.006    0.000    0.030    0.000 pyparsing.py:3349(__init__)
        1    0.000    0.000    0.030    0.030 formatting.py:125(write_usage)
        1    0.017    0.017    0.030    0.030 formatting.py:25(wrap_text)
        2    0.000    0.000    0.030    0.015 __init__.py:2097(declare_namespace)
        1    0.029    0.029    0.030    0.030 socket.py:45(<module>)
        2    0.000    0.000    0.029    0.015 __init__.py:2892(parse)
      498    0.006    0.000    0.029    0.000 {all}
        1    0.028    0.028    0.029    0.029 chainmap_impl.py:1(<module>)
     2564    0.019    0.000    0.029    0.000 sre_parse.py:149(append)
        1    0.014    0.014    0.029    0.029 numerictypes.py:82(<module>)
      218    0.012    0.000    0.029    0.000 pyparsing.py:3219(__init__)
      149    0.010    0.000    0.028    0.000 inspect.py:472(getmodule)
        1    0.025    0.025    0.028    0.028 function.py:19(<module>)
        1    0.019    0.019    0.028    0.028 period.py:2(<module>)
        1    0.009    0.009    0.028    0.028 colorlog.py:1(<module>)
        1    0.018    0.018    0.028    0.028 afm.py:34(<module>)
       14    0.000    0.000    0.027    0.002 __init__.py:2169(normalize_path)
        1    0.012    0.012    0.027    0.027 categorical.py:3(<module>)
      240    0.004    0.000    0.027    0.000 rcsetup.py:316(validate_color)
       12    0.001    0.000    0.027    0.002 rcsetup.py:660(cycler)
        1    0.008    0.008    0.027    0.027 artist.py:1(<module>)
        1    0.014    0.014    0.026    0.026 plistlib.py:51(<module>)
      173    0.013    0.000    0.025    0.000 functools.py:17(update_wrapper)
        1    0.020    0.020    0.025    0.025 pickle.py:25(<module>)
        7    0.000    0.000    0.025    0.004 __init__.py:1473(get_metadata_lines)
      848    0.019    0.000    0.025    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.025    0.025 __init__.py:554(get_distribution)
        1    0.024    0.024    0.024    0.024 heapq.py:31(<module>)
     2037    0.024    0.000    0.024    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.002    0.002    0.024    0.024 core.py:21(<module>)
        1    0.016    0.016    0.024    0.024 scanner.py:2(<module>)
        6    0.001    0.000    0.024    0.004 warnings.py:67(filterwarnings)
      983    0.008    0.000    0.023    0.000 feedparser.py:150(next)
        1    0.001    0.001    0.023    0.023 indexing.py:3(<module>)
        1    0.023    0.023    0.023    0.023 __init__.py:24(<module>)
     1465    0.017    0.000    0.023    0.000 artist.py:1141(is_alias)
        1    0.020    0.020    0.023    0.023 formatting.py:1(<module>)
     1224    0.014    0.000    0.023    0.000 pyparsing.py:340(__new__)
       36    0.002    0.000    0.023    0.001 contextlib.py:21(__exit__)
        1    0.000    0.000    0.022    0.022 getlimits.py:94(__new__)
       89    0.005    0.000    0.022    0.000 __init__.py:2622(insert_on)
        2    0.022    0.011    0.022    0.011 decorators.py:1(<module>)
        2    0.022    0.011    0.022    0.011 {method 'readlines' of 'file' objects}
        1    0.000    0.000    0.022    0.022 getlimits.py:127(_init)
        2    0.014    0.007    0.022    0.011 utils.py:1(<module>)
        7    0.000    0.000    0.022    0.003 ops.py:166(add_special_arithmetic_methods)
      334    0.004    0.000    0.022    0.000 colors.py:214(is_color_like)
     3520    0.022    0.000    0.022    0.000 {ord}
        1    0.021    0.021    0.022    0.022 inference.py:1(<module>)
     4481    0.020    0.000    0.021    0.000 {method 'get' of 'dict' objects}
       27    0.001    0.000    0.021    0.001 __init__.py:2875(__contains__)
        1    0.011    0.011    0.021    0.021 series.py:4(<module>)
        1    0.011    0.011    0.021    0.021 ssl.py:88(<module>)
      153    0.021    0.000    0.021    0.000 expr.py:196(_node_not_implemented)
       27    0.001    0.000    0.020    0.001 specifiers.py:700(contains)
     2114    0.020    0.000    0.020    0.000 {numpy.core.multiarray.array}
        1    0.020    0.020    0.020    0.020 _apipkg.py:7(<module>)
        1    0.001    0.001    0.020    0.020 markers.py:4(<module>)
        2    0.019    0.009    0.020    0.010 function_base.py:1(<module>)
      702    0.011    0.000    0.020    0.000 sre_compile.py:428(_simple)
       14    0.001    0.000    0.019    0.001 expr.py:149(_filter_nodes)
   157/90    0.002    0.000    0.019    0.000 __init__.py:2199(yield_lines)
